feature,ICC
ft123,0.8664
ft124,0.9545
ft125,0.8995
ft126,0.9868
ft127,0.9261
ft128,0.8142
ft129,0.9367
ft130,0.9761
ft131,0.8717
ft132,0.9684
ft133,0.9832
ft134,0.6041
ft135,0.9318
ft136,0.9869
ft137,0.991
ft138,0.9685
ft139,0.9691
ft140,0.9932
ft141,0.9677
ft142,0.8237
ft143,0.9274
ft144,0.8995
ft145,0.8648
ft146,0.9883
ft147,0.9598
ft148,0.9379
ft149,0.9824
ft150,0.947
ft151,0.91
ft152,0.948
ft153,0.9753
ft154,0.9241
ft155,0.8903
ft156,0.9551
ft157,0.8955
ft158,0.9788
ft159,0.9396
ft160,0.9272
ft161,0.9555
ft162,0.76
ft163,0.8453
ft164,0.836
ft165,0.9369
ft166,0.924
ft167,0.9166
ft168,0.9569
ft169,0.9058
ft170,0.766
ft171,0.8971
ft172,0.9729
ft173,0.9714
ft174,0.9083
ft175,0.954
ft176,0.9482
ft177,0.9473
ft178,0.9716
ft179,0.8997
ft180,0.9595
ft181,0.9694
ft182,0.9312
ft183,0.941
ft184,0.6614
ft185,0.3665
ft186,0.9587
ft187,0.9105
ft188,0.8957
ft189,0.9484
ft190,0.9322
ft191,0.9099
ft192,0.9803
ft193,0.9842
ft194,0.9775
ft195,0.942
ft196,0.9723
ft197,0.9241
ft198,0.9445
ft199,0.9669
ft200,0.97
ft201,0.7642
ft202,0.9418
ft203,0.8362
ft204,0.9696
ft205,0.8928
ft206,0.9254
ft207,0.8994
ft208,0.9701
ft209,0.9488
ft210,0.909
ft211,0.9402
ft212,0.6596
ft213,0.9451
ft214,0.9041
ft215,0.7161
ft216,0.8727
ft217,0.9434
ft218,0.9544
ft219,0.8934
ft220,0.9852
ft221,0.9869
ft222,0.9656
ft223,0.9555
ft224,0.9762
ft225,0.9006
ft226,0.8877
ft227,0.6431
ft228,0.8189
ft229,0.8914
ft230,0.9349
ft231,0.8969
ft232,0.9565
ft233,0.811
ft234,0.9885
ft235,0.918
ft236,0.9269
ft237,0.8873
ft238,0.9293
ft239,0.9919
ft240,0.9644
ft241,0.8606
ft242,0.9068
ft243,0.9363
ft244,0.9568
ft245,0.8966
ft246,0.9849
ft247,0.9554
ft248,0.8519
ft249,0.9244
ft250,0.9583
ft251,0.6971
ft252,0.9168
ft253,0.9441
ft254,0.8635
ft255,0.9308
ft256,0.9188
ft257,0.8845
ft258,0.954
ft259,0.4345
ft260,0.8987
ft261,0.9777
ft262,0.8447
ft263,0.8249
ft264,0.9766
ft265,0.8018
ft266,0.9304
ft267,0.9722
ft268,0.9712
ft269,0.9222
ft270,0.8355
ft271,0.9681
ft272,0.9496
ft273,0.794
ft274,0.9494
ft275,0.9739
ft276,0.922
ft277,0.9597
ft278,0.827
ft279,0.9171
ft280,0.7384
ft281,0.9756
ft282,0.9017
ft283,0.9239
ft284,0.9352
ft285,0.7796
ft286,0.8648
ft287,0.9045
ft288,0.9835
ft289,0.9762
ft290,0.8406
ft291,0.8225
ft292,0.8876
ft293,0.963
ft294,0.9344
ft295,0.969
ft296,0.9729
ft297,0.9771
ft298,0.9667
ft299,0.976
ft300,0.8663
ft301,0.7351
ft302,0.9452
ft303,0.9832
ft304,0.8581
ft305,0.9247
ft306,0.913
ft307,0.9823
ft308,0.8811
ft309,0.9732
ft310,0.7334
ft311,0.8945
ft312,0.8365
ft313,0.9683
ft314,0.8308
ft315,0.9474
ft316,0.9065
ft317,0.7078
ft318,0.5294
ft319,0.9237
ft320,0.952
ft321,0.8442
ft322,0.7171
ft323,0.9598
ft324,0.8574
ft325,0.9151
ft326,0.6224
ft327,0.9791
ft328,0.9397
ft329,0.8881
ft330,0.7363
ft331,0.6237
ft332,0.9567
ft333,0.9044
ft334,0.9341
ft335,0.778
ft336,0.9424
ft337,0.8903
ft338,0.9378
ft339,0.8971
ft340,0.7608
ft341,0.9683
ft342,0.8866
ft343,0.9026
ft344,0.9363
ft345,0.979
ft346,0.9254
ft347,0.8889
ft348,0.8847
ft349,0.9775
ft350,0.7041
ft351,0.3797
ft352,0.8912
ft353,0.7732
ft354,0.9387
ft355,0.5742
ft356,0.5779
ft357,0.9547
ft358,0.9306
ft359,0.9563
ft360,0.9439
ft361,0.8681
ft362,0.95
ft363,0.9491
ft364,0.9532
ft365,0.9634
ft366,0.7584
ft367,0.7506
ft368,0.9365
ft369,0.9623
ft370,0.8682
ft371,0.9433
ft372,0.9589
ft373,0.9324
ft374,0.9847
ft375,0.9717
ft376,0.9788
ft377,0.952
ft378,0.963
ft379,0.9572
ft380,0.9333
ft381,0.8916
ft382,0.924
ft383,0.8873
ft384,0.9857
ft385,0.9747
ft386,0.955
ft387,0.9731
ft388,0.8526
ft389,0.9597
ft390,0.9072
ft391,0.9127
ft392,0.8836
ft393,0.9709
ft394,0.9244
ft395,0.9727
ft396,0.9589
ft397,0.8834
ft398,0.9529
ft399,0.895
ft400,0.884
ft401,0.5259
ft402,0.9178
ft403,0.9731
ft404,0.9386
ft405,0.9683
ft406,0.7243
ft407,0.8605
ft408,0.9735
ft409,0.936
ft410,0.8972
ft411,0.3759
ft412,0.9598
ft413,0.8602
ft414,0.9851
ft415,0.9666
ft416,0.782
ft417,0.9385
ft418,0.935
ft419,0.9002
ft420,0.8385
ft421,0.9597
ft422,0.9833
ft423,0.8465
ft424,0.9552
ft425,0.918
ft426,0.9813
ft427,0.9722
ft428,0.9492
ft429,0.9426
ft430,0.9039
ft431,0.9438
ft432,0.9429
ft433,0.842
ft434,0.8602
ft435,0.9514
ft436,0.9283
ft437,0.8219
ft438,0.9343
ft439,0.8842
ft440,0.9395
ft441,0.9755
ft442,0.7901
ft443,0.9075
ft444,0.7222
ft445,0.8741
ft446,0.9663
ft447,0.7963
ft448,0.9367
ft449,0.9503
ft450,0.9537
ft451,0.9542
ft452,0.9853
ft453,0.9376
ft454,0.9682
ft455,0.9236
ft456,0.9301
ft457,0.9867
ft458,0.9554
ft459,0.9169
ft460,0.9663
ft461,0.972
ft462,0.9584
ft463,0.9781
ft464,0.9134
ft465,0.9885
ft466,0.7679
ft467,0.8934
ft468,0.8853
ft469,0.8453
ft470,0.9504
ft471,0.7337
ft472,0.9546
ft473,0.9242
ft474,0.9446
ft475,0.8496
ft476,0.8876
ft477,0.8694
ft478,0.763
ft479,0.8896
ft480,0.7347
ft481,0.9741
ft482,0.8009
ft483,0.9474
ft484,0.8967
ft485,0.9198
ft486,0.9723
ft487,0.8938
ft488,0.9753
ft489,0.9038
ft490,0.8768
ft491,0.982
ft492,0.7497
ft493,0.8931
ft494,0.9461
ft495,0.9779
ft496,0.8142
ft497,0.9398
ft498,0.8959
ft499,0.9662
ft500,0.8954
ft501,0.7566
ft502,0.9427
ft503,0.8836
ft504,0.8329
ft505,0.8872
ft506,0.7966
ft507,0.8984
ft508,0.9617
ft509,0.9514
ft510,0.89
ft511,0.9584
ft512,0.9494
ft513,0.9599
ft514,0.9889
ft515,0.9806
ft516,0.9289
ft517,0.9752
ft518,0.9556
ft519,0.9818
ft520,0.8678
ft521,0.9445
ft522,0.9072
ft523,0.8512
ft524,0.8565
ft525,0.9667
ft526,0.9418
ft527,0.947
ft528,0.916
ft529,0.9825
ft530,0.7116
ft531,0.7461
ft532,0.94
ft533,0.967
ft534,0.9136
ft535,0.9885
ft536,0.9717
ft537,0.6162
ft538,0.7882
ft539,0.9225
ft540,0.913
ft541,0.9581
ft542,0.7995
ft543,0.956
ft544,0.9434
ft545,0.9634
ft546,0.9652
ft547,0.8764
ft548,0.9838
ft549,0.912
ft550,0.8465
ft551,0.929
ft552,0.8596
ft553,0.9676
ft554,0.9577
ft555,0.926
ft556,0.9589
ft557,0.912
ft558,0.9594
ft559,0.9364
ft560,0.6447
ft561,0.9731
ft562,0.9798
ft563,0.666
ft564,0.9488
ft565,0.8498
ft566,0.9437
ft567,0.924
ft568,0.9531
ft569,0.8171
ft570,0.8438
ft571,0.969
ft572,0.9839
ft573,0.9331
ft574,0.8016
ft575,0.9737
ft576,0.9356
ft577,0.9116
ft578,0.9683
ft579,0.9224
ft580,0.9369
ft581,0.9765
ft582,0.987
ft583,0.9785
ft584,0.9139
ft585,0.9576
ft586,0.9325
ft587,0.9475
ft588,0.871
ft589,0.9563
ft590,0.9605
ft591,0.8987
ft592,0.4011
ft593,0.8731
ft594,0.8103
ft595,0.9305
ft596,0.9539
ft597,0.9065
ft598,0.9737
ft599,0.8869
ft600,0.7483
ft601,0.8774
ft602,0.9414
ft603,0.9252
ft604,0.9022
ft605,0.83
ft606,0.8726
ft607,0.6848
ft608,0.9687
ft609,0.9688
ft610,0.9238
ft611,0.853
ft612,0.963
ft613,0.9602
ft614,0.8736
ft615,0.9072
ft616,0.9282
ft617,0.9791
ft618,0.9399
ft619,0.9879
ft620,0.9644
ft621,0.9447
ft622,0.9443
ft623,0.9628
ft624,0.9299
ft625,0.8725
ft626,0.8457
ft627,0.9634
ft628,0.9406
ft629,0.9747
ft630,0.9222
ft631,0.9537
ft632,0.9275
ft633,0.9209
ft634,0.836
ft635,0.8754
ft636,0.9474
ft637,0.9187
ft638,0.9026
ft639,0.8217
ft640,0.8607
ft641,0.975
ft642,0.8876
ft643,0.9193
ft644,0.8473
ft645,0.9633
ft646,0.9579
ft647,0.9275
ft648,0.9083
ft649,0.9462
ft650,0.9411
ft651,0.9782
ft652,0.8278
ft653,0.9415
ft654,0.8937
ft655,0.9113
ft656,0.927
ft657,0.9348
ft658,0.932
ft659,0.7007
ft660,0.9475
ft661,0.9681
ft662,0.9786
ft663,0.8234
ft664,0.9355
ft665,0.9356
ft666,0.8824
ft667,0.9431
ft668,0.859
ft669,0.9048
ft670,0.8933
ft671,0.9705
ft672,0.866
ft673,0.9082
ft674,0.8326
ft675,0.8753
ft676,0.8604
ft677,0.9422
ft678,0.9643
ft679,0.9758
ft680,0.9547
ft681,0.8454
ft682,0.9253
ft683,0.9512
ft684,0.8581
ft685,0.9468
ft686,0.9649
ft687,0.9479
ft688,0.9404
ft689,0.9322
ft690,0.8987
ft691,0.7421
ft692,0.9722
ft693,0.9569
ft694,0.9529
ft695,0.8896
ft696,0.9829
ft697,0.8981
ft698,0.9708
ft699,0.8135
ft700,0.918
ft701,0.9652
ft702,0.9447
ft703,0.9456
ft704,0.9354
ft705,0.9031
ft706,0.88
ft707,0.9275
ft708,0.9529
ft709,0.975
ft710,0.9265
ft711,0.9142
ft712,0.9181
ft713,0.9401
ft714,0.9524
ft715,0.8114
ft716,0.9701
ft717,0.966
ft718,0.9755
ft719,0.9557
ft720,0.58
ft721,0.7428
ft722,0.9881
ft723,0.8503
ft724,0.7793
ft725,0.9343
ft726,0.789
ft727,0.863
ft728,0.9545
ft729,0.9372
ft730,0.9339
ft731,0.9231
ft732,0.9474
ft733,0.9411
ft734,0.9528
ft735,0.9523
ft736,0.9849
ft737,0.9878
ft738,0.8066
ft739,0.9534
ft740,0.9448
ft741,0.9544
ft742,0.9629
ft743,0.9227
ft744,0.8426
ft745,0.9179
ft746,0.9938
ft747,0.877
ft748,0.8646
ft749,0.8144
ft750,0.8659
ft751,0.9601
ft752,0.9306
ft753,0.97
ft754,0.7834
ft755,0.9593
ft756,0.9616
ft757,0.9436
ft758,0.8037
ft759,0.9461
ft760,0.9671
ft761,0.9523
ft762,0.835
ft763,0.9144
ft764,0.9773
ft765,0.8894
ft766,0.9649
ft767,0.9689
ft768,0.9714
ft769,0.9369
ft770,0.9643
ft771,0.9809
ft772,0.9338
ft773,0.9024
ft774,0.9737
ft775,0.8971
ft776,0.9654
ft777,0.9377
ft778,0.9407
ft779,0.8755
ft780,0.6209
ft781,0.9289
ft782,0.6104
ft783,0.9289
ft784,0.9238
ft785,0.955
ft786,0.9537
ft787,0.9674
ft788,0.8823
ft789,0.8479
ft790,0.9768
ft791,0.9757
ft792,0.9352
ft793,0.581
ft794,0.9429
ft795,0.9409
ft796,0.9802
ft797,0.928
ft798,0.6932
ft799,0.9182
ft800,0.8705
ft801,0.8866
ft802,0.9727
ft803,0.8667
ft804,0.978
ft805,0.9603
ft806,0.9414
ft807,0.9451
ft808,0.887
ft809,0.9757
ft810,0.9376
ft811,0.7441
ft812,0.9147
ft813,0.8627
ft814,0.8567
ft815,0.9659
ft816,0.9761
ft817,0.7561
ft818,0.9779
ft819,0.8752
ft820,0.9823
ft821,0.9415
ft822,0.9796
ft823,0.9514
ft824,0.9863
ft825,0.9588
ft826,0.8626
ft827,0.9895
ft828,0.6652
ft829,0.9523
ft830,0.615
ft831,0.9253
ft832,0.9488
ft833,0.9303
ft834,0.8982
ft835,0.9601
ft836,0.5903
ft837,0.8684
ft838,0.8965
ft839,0.9661
ft840,0.9766
ft841,0.9616
ft842,0.9478
ft843,0.9422
ft844,0.987
ft845,0.8842
ft846,0.869
ft847,0.9458
ft848,0.9439
ft849,0.8277
ft850,0.7656
ft851,0.896
ft852,0.9214
ft853,0.8501
ft854,0.9315
ft855,0.6726
ft856,0.9363
ft857,0.9476
ft858,0.9704
ft859,0.8523
ft860,0.4892
ft861,0.9477
ft862,0.9184
ft863,0.8683
ft864,0.9136
ft865,0.8992
ft866,0.9731
ft867,0.9475
ft868,0.777
ft869,0.8364
ft870,0.9642
ft871,0.9532
ft872,0.8794
ft873,0.8607
ft874,0.8833
ft875,0.9365
ft876,0.9364
ft877,0.7876
ft878,0.9646
ft879,0.9884
ft880,0.9735
ft881,0.9295
ft882,0.8458
ft883,0.9019
ft884,0.7463
ft885,0.9771
ft886,0.9679
ft887,0.89
ft888,0.9651
ft889,0.8978
ft890,0.9783
ft891,0.9679
ft892,0.911
ft893,0.9009
ft894,0.9686
ft895,0.9607
ft896,0.8226
ft897,0.9493
ft898,0.9503
ft899,0.8235
ft900,0.7381
ft901,0.9633
ft902,0.9756
ft903,0.9464
ft904,0.933
ft905,0.7612
ft906,0.9445
ft907,0.9733
ft908,0.9785
ft909,0.9282
ft910,0.9473
ft911,0.8351
ft912,0.4221
ft913,0.9749
ft914,0.7906
ft915,0.9055
ft916,0.9241
ft917,0.9119
ft918,0.8561
ft919,0.8257
ft920,0.9757
ft921,0.9734
ft922,0.9775
ft923,0.9867
ft924,0.9465
ft925,0.9656
ft926,0.9388
ft927,0.9576
ft928,0.9238
ft929,0.9434
ft930,0.9735
ft931,0.9224
ft932,0.9574
ft933,0.9776
ft934,0.9644
ft935,0.9731
ft936,0.936
ft937,0.7609
ft938,0.9298
ft939,0.9685
ft940,0.8984
ft941,0.9856
ft942,0.8136
ft943,0.8464
ft944,0.8806
ft945,0.949
ft946,0.7996
ft947,0.9739
ft948,0.8683
ft949,0.9783
ft950,0.9819
ft951,0.8732
ft952,0.9253
ft953,0.9772
ft954,0.9572
ft955,0.9596
ft956,0.9788
ft957,0.6249
ft958,0.9929
ft959,0.7627
ft960,0.8635
ft961,0.8794
ft962,0.9259
ft963,0.8747
ft964,0.9783
ft965,0.8415
ft966,0.8626
ft967,0.8976
ft968,0.9411
ft969,0.9633
ft970,0.9581
ft971,0.9619
ft972,0.9637
ft973,0.9738
ft974,0.8752
ft975,0.952
ft976,0.9802
ft977,0.8688
ft978,0.9692
ft979,0.9669
ft980,0.966
ft981,0.8115
ft982,0.989
ft983,0.876
ft984,0.9092
ft985,0.861
ft986,0.7326
ft987,0.7202
ft988,0.8121
ft989,0.8787
ft990,0.909
ft991,0.9433
ft992,0.8816
ft993,0.903
ft994,0.9613
ft995,0.9399
ft996,0.8817
ft997,0.9169
ft998,0.9683
ft999,0.9841
ft1000,0.9818
ft1001,0.8544
ft1002,0.948
ft1003,0.9719
ft1004,0.9819
ft1005,0.9739
ft1006,0.9482
ft1007,0.9607
ft1008,0.9099
ft1009,0.8398
ft1010,0.9571
ft1011,0.9363
ft1012,0.6973
ft1013,0.8466
ft1014,0.9632
ft1015,0.9399
ft1016,0.8495
ft1017,0.9811
ft1018,0.943
ft1019,0.6315
ft1020,0.9322
ft1021,0.7825
ft1022,0.8204
ft1023,0.9837
ft1024,0.7941
ft1025,0.9838
ft1026,0.9498
ft1027,0.8769
ft1028,0.9192
ft1029,0.9065
ft1030,0.9551
ft1031,0.9388
ft1032,0.9443
ft1033,0.9454
ft1034,0.9747
ft1035,0.9675
ft1036,0.9291
ft1037,0.9387
ft1038,0.9817
ft1039,0.7738
ft1040,0.9011
ft1041,0.9791
ft1042,0.8765
ft1043,0.7298
ft1044,0.8127
ft1045,0.9695
ft1046,0.9619
ft1047,0.9708
ft1048,0.9632
ft1049,0.9609
ft1050,0.9844
ft1051,0.9163
ft1052,0.8929
ft1053,0.9632
ft1054,0.9521
ft1055,0.9194
ft1056,0.8819
ft1057,0.9528
ft1058,0.9299
ft1059,0.9628
ft1060,0.9614
ft1061,0.9677
ft1062,0.923
ft1063,0.7531
ft1064,0.9435
ft1065,0.6139
ft1066,0.9225
ft1067,0.9593
ft1068,0.9591
ft1069,0.9737
ft1070,0.9643
ft1071,0.9921
ft1072,0.9611
ft1073,0.9858
ft1074,0.968
ft1075,0.9629
ft1076,0.7677
ft1077,0.8853
ft1078,0.9722
ft1079,0.9493
ft1080,0.8893
ft1081,0.5716
ft1082,0.7459
ft1083,0.8758
ft1084,0.9459
ft1085,0.9391
ft1086,0.8985
ft1087,0.6955
ft1088,0.7948
ft1089,0.8718
ft1090,0.8911
ft1091,0.5798
ft1092,0.8424
ft1093,0.5945
ft1094,0.966
ft1095,0.937
ft1096,0.6839
ft1097,0.974
ft1098,0.9579
ft1099,0.848
ft1100,0.9524
ft1101,0.9756
ft1102,0.9339
ft1103,0.9188
ft1104,0.3903
ft1105,0.8744
ft1106,0.9154
ft1107,0.9923
ft1108,0.9672
ft1109,0.9319
ft1110,0.7361
ft1111,0.7399
ft1112,0.9116
ft1113,0.9174
ft1114,0.8138
ft1115,0.8766
ft1116,0.811
ft1117,0.8585
ft1118,0.8245
ft1119,0.8896
ft1120,0.8947
ft1121,0.9459
ft1122,0.9214
ft1123,0.9641
ft1124,0.9292
ft1125,0.7431
ft1126,0.8241
ft1127,0.9094
ft1128,0.9374
ft1129,0.9714
ft1130,0.9654
ft1131,0.9446
ft1132,0.9384
ft1133,0.9533
ft1134,0.911
ft1135,0.8151
ft1136,0.9656
ft1137,0.8477
ft1138,0.9858
ft1139,0.919
ft1140,0.9148
ft1141,0.9926
ft1142,0.8874
ft1143,0.8382
ft1144,0.9012
ft1145,0.9941
ft1146,0.9519
ft1147,0.9777
ft1148,0.7875
ft1149,0.8957
ft1150,0.8679
ft1151,0.8845
ft1152,0.98
ft1153,0.9865
ft1154,0.9648
ft1155,0.9773
ft1156,0.9445
ft1157,0.9436
ft1158,0.8943
ft1159,0.8822
ft1160,0.9593
ft1161,0.8025
ft1162,0.9566
ft1163,0.9339
ft1164,0.7894
ft1165,0.9461
ft1166,0.9639
ft1167,0.7015
ft1168,0.9577
ft1169,0.9104
ft1170,0.9081
ft1171,0.936
ft1172,0.9182
ft1173,0.9611
ft1174,0.8936
ft1175,0.8708
ft1176,0.9316
ft1177,0.8083
ft1178,0.9359
ft1179,0.9497
ft1180,0.8951
ft1181,0.9588
ft1182,0.9357
ft1183,0.9246
ft1184,0.9405
ft1185,0.6559
ft1186,0.9256
ft1187,0.9522
ft1188,0.9294
ft1189,0.8858
ft1190,0.9645
ft1191,0.9602
ft1192,0.9396
ft1193,0.9606
ft1194,0.944
ft1195,0.9186
ft1196,0.9516
ft1197,0.8944
ft1198,0.9113
ft1199,0.7146
ft1200,0.9722
ft1201,0.7784
ft1202,0.9635
ft1203,0.9408
ft1204,0.7963
ft1205,0.8696
ft1206,0.9268
ft1207,0.8579
ft1208,0.5892
ft1209,0.9767
ft1210,0.837
ft1211,0.973
ft1212,0.9796
ft1213,0.5823
ft1214,0.8329
ft1215,0.9786
ft1216,0.9666
ft1217,0.9338
ft1218,0.8587
ft1219,0.9805
ft1220,0.9205
ft1221,0.9924
ft1222,0.9566
ft1223,0.9527
ft1224,0.9601
ft1225,0.9773
ft1226,0.871
ft1227,0.9625
ft1228,0.9411
ft1229,0.9611
ft1230,0.8885
ft1231,0.966
ft1232,0.9066
ft1233,0.8109
ft1234,0.9321
ft1235,0.9684
ft1236,0.8143
ft1237,0.8539
ft1238,0.9762
ft1239,0.8385
ft1240,0.8614
ft1241,0.9482
ft1242,0.8911
ft1243,0.9669
ft1244,0.8502
ft1245,0.9742
ft1246,0.9146
ft1247,0.928
ft1248,0.9281
ft1249,0.8372
ft1250,0.9686
ft1251,0.9794
ft1252,0.8689
ft1253,0.5029
ft1254,0.9502
ft1255,0.9463
ft1256,0.9715
ft1257,0.8954
ft1258,0.9176
ft1259,0.9748
ft1260,0.9553
ft1261,0.7884
ft1262,0.3769
ft1263,0.9792
ft1264,0.5187
ft1265,0.959
ft1266,0.9115
ft1267,0.9895
ft1268,0.9633
ft1269,0.9222
ft1270,0.7282
ft1271,0.9021
ft1272,0.8814
ft1273,0.7377
ft1274,0.7998
ft1275,0.8943
ft1276,0.9306
ft1277,0.9386
ft1278,0.9461
ft1279,0.9706
ft1280,0.9863
ft1281,0.9613
ft1282,0.7182
ft1283,0.8729
ft1284,0.928
ft1285,0.8562
ft1286,0.9399
ft1287,0.5973
ft1288,0.8692
ft1289,0.8879
ft1290,0.9744
ft1291,0.9671
ft1292,0.9354
ft1293,0.974
ft1294,0.8334
ft1295,0.9762
ft1296,0.9078
ft1297,0.9598
ft1298,0.9884
ft1299,0.9244
ft1300,0.9289
ft1301,0.9768
ft1302,0.9308
ft1303,0.9522
ft1304,0.9473
ft1305,0.984
ft1306,0.9335
ft1307,0.9554
ft1308,0.9726
ft1309,0.9664
ft1310,0.9672
ft1311,0.9566
ft1312,0.8435
ft1313,0.9735
ft1314,0.9396
ft1315,0.5178
ft1316,0.9173
ft1317,0.9694
ft1318,0.8137
ft1319,0.9125
ft1320,0.9554
ft1321,0.9679
ft1322,0.9682
ft1323,0.9522
ft1324,0.939
ft1325,0.984
ft1326,0.9793
ft1327,0.8592
ft1328,0.9664
ft1329,0.9483
ft1330,0.9717
ft1331,0.9036
ft1332,0.9403
ft1333,0.9204
ft1334,0.8341
ft1335,0.9601
ft1336,0.9373
ft1337,0.9304
ft1338,0.9608
ft1339,0.9288
ft1340,0.9598
ft1341,0.9283
ft1342,0.7247
ft1343,0.7714
ft1344,0.9531
ft1345,0.8639
ft1346,0.9466
ft1347,0.9515
ft1348,0.9609
ft1349,0.9344
ft1350,0.9151
ft1351,0.8425
ft1352,0.976
ft1353,0.9445
ft1354,0.8956
ft1355,0.992
ft1356,0.9881
ft1357,0.9294
ft1358,0.8609
ft1359,0.9804
ft1360,0.953
ft1361,0.9673
ft1362,0.7537
ft1363,0.9152
ft1364,0.9629
ft1365,0.974
ft1366,0.9711
ft1367,0.9896
ft1368,0.9396
ft1369,0.776
ft1370,0.9356
ft1371,0.8188
ft1372,0.9651
ft1373,0.833
ft1374,0.9479
ft1375,0.9796
ft1376,0.9717
ft1377,0.9175
ft1378,0.926
ft1379,0.8982
ft1380,0.9323
ft1381,0.9545
ft1382,0.9537
ft1383,0.9705
ft1384,0.6942
ft1385,0.7291
ft1386,0.9449
ft1387,0.9663
ft1388,0.9199
ft1389,0.8361
ft1390,0.639
ft1391,0.8031
ft1392,0.9647
ft1393,0.739
ft1394,0.9752
ft1395,0.8536
ft1396,0.9468
ft1397,0.9645
ft1398,0.879
ft1399,0.8631
ft1400,0.9677
ft1401,0.9833
ft1402,0.9842
ft1403,0.96
ft1404,0.9396
ft1405,0.8893
ft1406,0.9845
ft1407,0.6323
ft1408,0.9324
ft1409,0.8711
ft1410,0.9724
ft1411,0.949
ft1412,0.9516
ft1413,0.9931
ft1414,0.97
ft1415,0.9316
ft1416,0.7942
ft1417,0.9789
ft1418,0.967
ft1419,0.7117
ft1420,0.863
ft1421,0.8705
ft1422,0.9169
ft1423,0.9589
ft1424,0.9448
ft1425,0.9523
ft1426,0.9691
ft1427,0.9104
ft1428,0.6576
ft1429,0.7506
ft1430,0.9128
ft1431,0.8897
ft1432,0.8396
ft1433,0.8924
ft1434,0.943
ft1435,0.9421
ft1436,0.7613
ft1437,0.7784
ft1438,0.9611
ft1439,0.9498
ft1440,0.9148
ft1441,0.9168
ft1442,0.9438
ft1443,0.9073
ft1444,0.8746
ft1445,0.9541
ft1446,0.9134
ft1447,0.983
ft1448,0.9035
ft1449,0.8541
ft1450,0.9667
ft1451,0.8595
ft1452,0.9009
ft1453,0.9063
ft1454,0.984
ft1455,0.9416
ft1456,0.9295
ft1457,0.9658
ft1458,0.6321
ft1459,0.9667
ft1460,0.8923
ft1461,0.9705
ft1462,0.9513
ft1463,0.9178
ft1464,0.8768
ft1465,0.7921
ft1466,0.9679
ft1467,0.9297
ft1468,0.8801
ft1469,0.9458
ft1470,0.9291
ft1471,0.9232
ft1472,0.9352
ft1473,0.955
ft1474,0.8444
ft1475,0.9717
ft1476,0.8553
ft1477,0.936
ft1478,0.9748
ft1479,0.957
ft1480,0.9451
ft1481,0.9179
ft1482,0.9883
ft1483,0.8737
ft1484,0.6919
ft1485,0.9527
ft1486,0.9596
ft1487,0.9124
ft1488,0.8605
ft1489,0.9425
ft1490,0.9428
ft1491,0.959
ft1492,0.9805
ft1493,0.9227
ft1494,0.9198
ft1495,0.8066
ft1496,0.9643
ft1497,0.9687
ft1498,0.9173
ft1499,0.9849
ft1500,0.908
ft1501,0.9781
ft1502,0.8038
ft1503,0.7088
ft1504,0.8253
ft1505,0.9675
ft1506,0.9905
ft1507,0.9099
ft1508,0.9637
ft1509,0.8438
ft1510,0.9146
ft1511,0.9347
ft1512,0.9122
ft1513,0.9295
ft1514,0.9382
