,feature,rem vs. tum
209,ft1357_ImageNet,0.6039040855347876
210,ft1903_ImageNet,0.6038357981816054
211,ft1057_ImageNet,0.6036845904709877
212,ft270_ImageNet,0.6036602021305655
213,ft1199_ImageNet,0.6036260584539743
214,ft1456_ImageNet,0.6036065477816366
215,ft650_ImageNet,0.6035577711007921
216,ft965_ImageNet,0.6034894837476099
217,ft1878_ImageNet,0.6034163187263433
218,ft1670_ImageNet,0.6033333983689078
219,ft788_ImageNet,0.6032260896710502
220,ft555_ImageNet,0.60322608967105
221,ft1375_ImageNet,0.6031968236625435
222,ft793_ImageNet,0.6030065946072501
223,ft1947_ImageNet,0.6029139189136458
224,ft1107_ImageNet,0.6027383228626059
225,ft1214_ImageNet,0.6026944238498458
226,ft1853_ImageNet,0.602474928786046
227,ft250_ImageNet,0.6024066414328638
228,ft260_ImageNet,0.6022944550669216
229,ft584_ImageNet,0.6021237366839662
230,ft740_ImageNet,0.601879853279744
231,ft1577_ImageNet,0.6016310922074375
232,ft1022_ImageNet,0.6015920708627619
233,ft1392_ImageNet,0.6013920864712998
234,ft56_ImageNet,0.6012018574160065
235,ft539_ImageNet,0.6010165060287977
236,ft1855_ImageNet,0.60099699535646
237,ft1062_ImageNet,0.6008360323096734
238,ft1999_ImageNet,0.6008018886330823
239,ft13_ImageNet,0.6005189838841847
240,ft1795_ImageNet,0.6001482811097669
241,ft1618_ImageNet,0.5999629297225583
242,ft1024_ImageNet,0.5999434190502204
243,ft753_ImageNet,0.5997044133140828
244,ft1075_ImageNet,0.599562960939634
245,ft68_ImageNet,0.5994849182502828
246,ft575_ImageNet,0.5994654075779452
247,ft961_ImageNet,0.5994458969056073
248,ft94_ImageNet,0.5994215085651852
249,ft1414_ImageNet,0.5991727474928786
250,ft717_ImageNet,0.5991532368205408
251,ft408_ImageNet,0.5989776407695009
252,ft236_ImageNet,0.5988995980801499
253,ft1118_ImageNet,0.5986654700120966
254,ft1387_ImageNet,0.5986069379950834
255,ft212_ImageNet,0.59841670893979
256,ft1368_ImageNet,0.5983679322589457
257,ft261_ImageNet,0.5983337885823545
258,ft561_ImageNet,0.5982850119015102
259,ft556_ImageNet,0.597753346080306
260,ft1102_ImageNet,0.597577750029266
261,ft481_ImageNet,0.5975631170250126
262,ft431_ImageNet,0.5971046162250752
263,ft280_ImageNet,0.5970558395442307
264,ft1136_ImageNet,0.5968704881570219
265,ft1454_ImageNet,0.5968558551527685
266,ft648_ImageNet,0.5961437156124401
267,ft1646_ImageNet,0.5961095719358489
268,ft1724_ImageNet,0.5960900612635112
269,ft230_ImageNet,0.5960364069145823
270,ft199_ImageNet,0.5959729972294845
271,ft819_ImageNet,0.5958071565146135
272,ft508_ImageNet,0.5953584110508449
273,ft1964_ImageNet,0.5953242673742537
274,ft1508_ImageNet,0.595085261638116
275,ft1040_ImageNet,0.5950267296211027
276,ft1954_ImageNet,0.5949633199360049
277,ft1247_ImageNet,0.5944950637998985
278,ft923_ImageNet,0.5944072657743786
279,ft952_ImageNet,0.5943731220977875
280,ft1061_ImageNet,0.5943145900807741
281,ft1934_ImageNet,0.5940853396808055
282,ft252_ImageNet,0.5939829086510322
283,ft1821_ImageNet,0.5937000039021345
284,ft1700_ImageNet,0.5935390408553478
285,ft1674_ImageNet,0.5933049127872947
286,ft733_ImageNet,0.5931244390681703
287,ft1842_ImageNet,0.593022008038397
288,ft306_ImageNet,0.5929195770086237
289,ft660_ImageNet,0.592470831544855
290,ft205_ImageNet,0.592426932532095
291,ft1064_ImageNet,0.5924122995278417
292,ft1059_ImageNet,0.5922854801576463
293,ft459_ImageNet,0.5917879580130332
294,ft48_ImageNet,0.5917586920045266
295,ft784_ImageNet,0.5917391813321887
296,ft395_ImageNet,0.5916123619619933
297,ft1060_ImageNet,0.5914952979279666
298,ft802_ImageNet,0.5914855425917978
299,ft1818_ImageNet,0.5913636008896865
300,ft124_ImageNet,0.5913538455535178
