,feature,rem vs. tum
59,ft1448_MNIST,0.7375619463846724
60,ft575_MNIST,0.737513169703828
61,ft736_MNIST,0.7372985523081126
62,ft130_MNIST,0.7371619776017482
63,ft1610_MNIST,0.7367863971592461
64,ft241_MNIST,0.7366156787762905
65,ft724_MNIST,0.7365522690911929
66,ft843_MNIST,0.7364254497209974
67,ft509_MNIST,0.7363571623678151
68,ft73_MNIST,0.7362937526827175
69,ft738_MNIST,0.7357669645295978
70,ft1970_MNIST,0.7357084325125843
71,ft503_MNIST,0.7356986771764155
72,ft1192_MNIST,0.7349084949467359
73,ft1417_MNIST,0.7341670893979007
74,ft1801_MNIST,0.7341573340617318
75,ft519_MNIST,0.7332695984703633
76,ft1205_MNIST,0.7323038201896438
77,ft1096_MNIST,0.7307332110664534
78,ft556_MNIST,0.7302747102665158
79,ft1107_MNIST,0.7301381355601514
80,ft75_MNIST,0.7296113474070316
81,ft686_MNIST,0.7286211807858898
82,ft339_MNIST,0.7284358293986811
83,ft1606_MNIST,0.7280602489561789
84,ft1619_MNIST,0.7272212900456549
85,ft1574_MNIST,0.7249629297225583
86,ft674_MNIST,0.7247239239864206
87,ft574_MNIST,0.7237191243610255
88,ft1221_MNIST,0.7234118312717056
89,ft1256_MNIST,0.7222558239356929
90,ft1803_MNIST,0.7216022164123777
91,ft614_MNIST,0.7215046630506887
92,ft1683_MNIST,0.7212412689741289
93,ft547_MNIST,0.7211290826081868
94,ft590_MNIST,0.7206803371444179
95,ft539_MNIST,0.7203389003785071
96,ft182_MNIST,0.7201535489912982
97,ft2024_MNIST,0.7199633199360049
98,ft984_MNIST,0.719026807663792
99,ft1091_MNIST,0.7184463651617434
100,ft1335_MNIST,0.7178171459788505
101,ft1493_MNIST,0.7177342256214149
102,ft1741_MNIST,0.7176171615873883
103,ft756_MNIST,0.7169391657236508
104,ft611_MNIST,0.7165538299449798
105,ft741_MNIST,0.7165001755960511
106,ft711_MNIST,0.7161002068131267
107,ft1081_MNIST,0.7159246107620869
108,ft1994_MNIST,0.7158319350684825
109,ft378_MNIST,0.7149978538260429
110,ft210_MNIST,0.714988098489874
111,ft183_MNIST,0.7140369532134077
112,ft1339_MNIST,0.7128419245327193
113,ft641_MNIST,0.7124224450774573
114,ft894_MNIST,0.7122175830179108
115,ft1242_MNIST,0.7117005502009599
116,ft1878_MNIST,0.7115639754945955
117,ft372_MNIST,0.7109591446521247
118,ft1413_MNIST,0.7098616693331252
119,ft943_MNIST,0.7097397276310142
120,ft648_MNIST,0.7086373746439303
121,ft1825_MNIST,0.7082081398524993
122,ft381_MNIST,0.7078910914270106
123,ft1671_MNIST,0.7078667030865884
124,ft946_MNIST,0.7075350216568463
125,ft732_MNIST,0.7068960471377843
126,ft931_MNIST,0.706549732703789
127,ft1425_MNIST,0.7058863698443048
128,ft1723_MNIST,0.7058278378272915
129,ft6_MNIST,0.7056619971124204
130,ft66_MNIST,0.7054522573847894
131,ft1193_MNIST,0.7054181137081984
132,ft15_MNIST,0.7053010496741718
133,ft1877_MNIST,0.7052620283294964
134,ft426_MNIST,0.7049986342529364
135,ft639_MNIST,0.7046181761423499
136,ft1501_MNIST,0.7042474733679323
137,ft1985_MNIST,0.7041206539977367
138,ft871_MNIST,0.7038670152573457
139,ft744_MNIST,0.7038670152573456
140,ft1188_MNIST,0.7022964061341554
141,ft1158_MNIST,0.7021939751043821
142,ft1023_MNIST,0.7019110703554845
143,ft1217_MNIST,0.701530612244898
144,ft1141_MNIST,0.7014964685683068
145,ft2028_MNIST,0.701198930815156
146,ft790_MNIST,0.7010184570960316
147,ft1995_MNIST,0.7007745736918094
148,ft457_MNIST,0.7004087485854762
149,ft1851_MNIST,0.7001404768408319
150,ft755_MNIST,0.6994478479728412
151,ft1729_MNIST,0.6989210598197213
152,ft1240_MNIST,0.698818628789948
153,ft98_MNIST,0.6986674210793304
154,ft517_MNIST,0.6975797010964999
155,ft1421_MNIST,0.6971943653178289
