feature,ICC
original_firstorder_Energy_idx12,0.6818
original_firstorder_Energy_idx13,0.7118
original_firstorder_Energy_idx14,0.7155
original_firstorder_Energy_idx15,0.7052
original_firstorder_Energy_idx16,0.8345
original_firstorder_Energy_idx17,0.8016
original_firstorder_Energy_idx18,0.7933
original_firstorder_Energy_idx19,0.8137
original_firstorder_Energy_idx20,0.8679
original_firstorder_Energy_idx21,0.8981
original_firstorder_Energy_idx22,0.9126
original_firstorder_Energy_idx23,0.8928
original_firstorder_Entropy_idx0,0.2138
original_firstorder_Entropy_idx1,0.2816
original_firstorder_Entropy_idx2,0.3755
original_firstorder_Entropy_idx3,0.3596
original_firstorder_Entropy_idx4,0.3166
original_firstorder_Entropy_idx5,0.2996
original_firstorder_Entropy_idx6,0.2711
original_firstorder_Entropy_idx7,0.2138
original_firstorder_Entropy_idx8,0.5316
original_firstorder_Entropy_idx9,0.5034
original_firstorder_Entropy_idx10,0.5858
original_firstorder_Entropy_idx11,0.5902
original_firstorder_Entropy_idx12,0.596
original_firstorder_Entropy_idx13,0.5941
original_firstorder_Entropy_idx14,0.5633
original_firstorder_Entropy_idx15,0.5387
original_firstorder_Entropy_idx16,0.8248
original_firstorder_Entropy_idx17,0.6992
original_firstorder_Entropy_idx18,0.6817
original_firstorder_Entropy_idx19,0.7527
original_firstorder_Entropy_idx20,0.8183
original_firstorder_Entropy_idx21,0.8595
original_firstorder_Entropy_idx22,0.831
original_firstorder_Entropy_idx23,0.8185
original_firstorder_InterquartileRange_idx0,0.1755
original_firstorder_InterquartileRange_idx1,0.2915
original_firstorder_InterquartileRange_idx2,0.4017
original_firstorder_InterquartileRange_idx3,0.386
original_firstorder_InterquartileRange_idx4,0.3708
original_firstorder_InterquartileRange_idx5,0.3234
original_firstorder_InterquartileRange_idx6,0.2647
original_firstorder_InterquartileRange_idx7,0.1856
original_firstorder_InterquartileRange_idx8,0.5292
original_firstorder_InterquartileRange_idx9,0.4666
original_firstorder_InterquartileRange_idx10,0.5584
original_firstorder_InterquartileRange_idx11,0.563
original_firstorder_InterquartileRange_idx12,0.6144
original_firstorder_InterquartileRange_idx13,0.6326
original_firstorder_InterquartileRange_idx14,0.6281
original_firstorder_InterquartileRange_idx15,0.5271
original_firstorder_InterquartileRange_idx16,0.8708
original_firstorder_InterquartileRange_idx17,0.7556
original_firstorder_InterquartileRange_idx18,0.7231
original_firstorder_InterquartileRange_idx19,0.7992
original_firstorder_InterquartileRange_idx20,0.8711
original_firstorder_InterquartileRange_idx21,0.9163
original_firstorder_InterquartileRange_idx22,0.9063
original_firstorder_InterquartileRange_idx23,0.8753
original_firstorder_Kurtosis_idx0,0.9126
original_firstorder_Kurtosis_idx1,0.9414
original_firstorder_Kurtosis_idx2,0.919
original_firstorder_Kurtosis_idx3,0.9028
original_firstorder_Kurtosis_idx4,0.9114
original_firstorder_Kurtosis_idx5,0.9323
original_firstorder_Kurtosis_idx6,0.8938
original_firstorder_Kurtosis_idx7,0.8929
original_firstorder_Kurtosis_idx8,0.9284
original_firstorder_Kurtosis_idx9,0.9796
original_firstorder_Kurtosis_idx10,0.9229
original_firstorder_Kurtosis_idx11,0.962
original_firstorder_Kurtosis_idx12,0.964
original_firstorder_Kurtosis_idx13,0.9395
original_firstorder_Kurtosis_idx14,0.7292
original_firstorder_Kurtosis_idx15,0.7788
original_firstorder_Kurtosis_idx16,0.8399
original_firstorder_Kurtosis_idx17,0.9045
original_firstorder_Kurtosis_idx18,0.8742
original_firstorder_Kurtosis_idx19,0.9375
original_firstorder_Kurtosis_idx20,0.9386
original_firstorder_Kurtosis_idx21,0.9129
original_firstorder_Kurtosis_idx22,0.7594
original_firstorder_Kurtosis_idx23,0.6511
original_firstorder_Maximum_idx0,0.634
original_firstorder_Maximum_idx1,0.5547
original_firstorder_Maximum_idx2,0.5094
original_firstorder_Maximum_idx3,0.4747
original_firstorder_Maximum_idx4,0.4788
original_firstorder_Maximum_idx5,0.4991
original_firstorder_Maximum_idx6,0.5332
original_firstorder_Maximum_idx7,0.6136
original_firstorder_Maximum_idx8,0.7863
original_firstorder_Maximum_idx9,0.6609
original_firstorder_Maximum_idx10,0.5962
original_firstorder_Maximum_idx11,0.679
original_firstorder_Maximum_idx12,0.7423
original_firstorder_Maximum_idx13,0.7665
original_firstorder_Maximum_idx14,0.7812
original_firstorder_Maximum_idx15,0.8
original_firstorder_Maximum_idx16,0.8934
original_firstorder_Maximum_idx17,0.8545
original_firstorder_Maximum_idx18,0.8575
original_firstorder_Maximum_idx19,0.8965
original_firstorder_Maximum_idx20,0.928
original_firstorder_Maximum_idx21,0.939
original_firstorder_Maximum_idx22,0.9291
original_firstorder_Maximum_idx23,0.9151
original_firstorder_MeanAbsoluteDeviation_idx0,0.2178
original_firstorder_MeanAbsoluteDeviation_idx1,0.2588
original_firstorder_MeanAbsoluteDeviation_idx2,0.3705
original_firstorder_MeanAbsoluteDeviation_idx3,0.3733
original_firstorder_MeanAbsoluteDeviation_idx4,0.3561
original_firstorder_MeanAbsoluteDeviation_idx5,0.3422
original_firstorder_MeanAbsoluteDeviation_idx6,0.3246
original_firstorder_MeanAbsoluteDeviation_idx7,0.2595
original_firstorder_MeanAbsoluteDeviation_idx8,0.6025
original_firstorder_MeanAbsoluteDeviation_idx9,0.4741
original_firstorder_MeanAbsoluteDeviation_idx10,0.5441
original_firstorder_MeanAbsoluteDeviation_idx11,0.5772
original_firstorder_MeanAbsoluteDeviation_idx12,0.6473
original_firstorder_MeanAbsoluteDeviation_idx13,0.6781
original_firstorder_MeanAbsoluteDeviation_idx14,0.6979
original_firstorder_MeanAbsoluteDeviation_idx15,0.6678
original_firstorder_MeanAbsoluteDeviation_idx16,0.9018
original_firstorder_MeanAbsoluteDeviation_idx17,0.8027
original_firstorder_MeanAbsoluteDeviation_idx18,0.7678
original_firstorder_MeanAbsoluteDeviation_idx19,0.841
original_firstorder_MeanAbsoluteDeviation_idx20,0.9093
original_firstorder_MeanAbsoluteDeviation_idx21,0.9357
original_firstorder_MeanAbsoluteDeviation_idx22,0.9262
original_firstorder_MeanAbsoluteDeviation_idx23,0.9137
original_firstorder_Mean_idx0,0.1103
original_firstorder_Mean_idx1,0.3708
original_firstorder_Mean_idx2,0.4197
original_firstorder_Mean_idx3,0.3155
original_firstorder_Mean_idx4,0.2873
original_firstorder_Mean_idx5,0.2986
original_firstorder_Mean_idx6,0.2471
original_firstorder_Mean_idx7,0.1383
original_firstorder_Mean_idx8,0.3359
original_firstorder_Mean_idx9,0.679
original_firstorder_Mean_idx10,0.7385
original_firstorder_Mean_idx11,0.6621
original_firstorder_Mean_idx12,0.6099
original_firstorder_Mean_idx13,0.5412
original_firstorder_Mean_idx14,0.4339
original_firstorder_Mean_idx15,0.3506
original_firstorder_Mean_idx16,0.7885
original_firstorder_Mean_idx17,0.8901
original_firstorder_Mean_idx18,0.9124
original_firstorder_Mean_idx19,0.8936
original_firstorder_Mean_idx20,0.8527
original_firstorder_Mean_idx21,0.7866
original_firstorder_Mean_idx22,0.7229
original_firstorder_Mean_idx23,0.7276
original_firstorder_Median_idx0,0.1074
original_firstorder_Median_idx1,0.437
original_firstorder_Median_idx2,0.4731
original_firstorder_Median_idx3,0.3314
original_firstorder_Median_idx4,0.2921
original_firstorder_Median_idx5,0.3062
original_firstorder_Median_idx6,0.2444
original_firstorder_Median_idx7,0.1235
original_firstorder_Median_idx8,0.3086
original_firstorder_Median_idx9,0.7525
original_firstorder_Median_idx10,0.802
original_firstorder_Median_idx11,0.698
original_firstorder_Median_idx12,0.6166
original_firstorder_Median_idx13,0.532
original_firstorder_Median_idx14,0.3867
original_firstorder_Median_idx15,0.2855
original_firstorder_Median_idx16,0.7245
original_firstorder_Median_idx17,0.9001
original_firstorder_Median_idx18,0.9295
original_firstorder_Median_idx19,0.911
original_firstorder_Median_idx20,0.8612
original_firstorder_Median_idx21,0.7408
original_firstorder_Median_idx22,0.5809
original_firstorder_Median_idx23,0.5991
original_firstorder_Minimum_idx0,0.8953
original_firstorder_Minimum_idx1,0.8682
original_firstorder_Minimum_idx2,0.9335
original_firstorder_Minimum_idx3,0.9066
original_firstorder_Minimum_idx4,0.906
original_firstorder_Minimum_idx5,0.862
original_firstorder_Minimum_idx6,0.8778
original_firstorder_Minimum_idx7,0.8465
original_firstorder_Minimum_idx8,0.8465
original_firstorder_Minimum_idx9,0.9582
original_firstorder_Minimum_idx10,0.9594
original_firstorder_Minimum_idx11,0.8345
original_firstorder_Minimum_idx12,0.851
original_firstorder_Minimum_idx13,0.9701
original_firstorder_Minimum_idx14,0.9297
original_firstorder_Minimum_idx15,0.8458
original_firstorder_Minimum_idx16,0.935
original_firstorder_Minimum_idx17,0.9794
original_firstorder_Minimum_idx18,0.9337
original_firstorder_Minimum_idx19,0.9347
original_firstorder_Minimum_idx20,0.9053
original_firstorder_Minimum_idx21,0.8824
original_firstorder_Minimum_idx22,0.8055
original_firstorder_Minimum_idx23,0.8034
original_firstorder_Range_idx0,0.6591
original_firstorder_Range_idx1,0.5842
original_firstorder_Range_idx2,0.5454
original_firstorder_Range_idx3,0.5202
original_firstorder_Range_idx4,0.5163
original_firstorder_Range_idx5,0.53
original_firstorder_Range_idx6,0.5695
original_firstorder_Range_idx7,0.6452
original_firstorder_Range_idx8,0.8111
original_firstorder_Range_idx9,0.6878
original_firstorder_Range_idx10,0.6282
original_firstorder_Range_idx11,0.7031
original_firstorder_Range_idx12,0.7633
original_firstorder_Range_idx13,0.7904
original_firstorder_Range_idx14,0.8094
original_firstorder_Range_idx15,0.8286
original_firstorder_Range_idx16,0.8975
original_firstorder_Range_idx17,0.8418
original_firstorder_Range_idx18,0.8492
original_firstorder_Range_idx19,0.9069
original_firstorder_Range_idx20,0.9295
original_firstorder_Range_idx21,0.9462
original_firstorder_Range_idx22,0.9364
original_firstorder_Range_idx23,0.9211
original_firstorder_RobustMeanAbsoluteDeviation_idx0,0.1647
original_firstorder_RobustMeanAbsoluteDeviation_idx1,0.2678
original_firstorder_RobustMeanAbsoluteDeviation_idx2,0.3824
original_firstorder_RobustMeanAbsoluteDeviation_idx3,0.3754
original_firstorder_RobustMeanAbsoluteDeviation_idx4,0.367
original_firstorder_RobustMeanAbsoluteDeviation_idx5,0.3366
original_firstorder_RobustMeanAbsoluteDeviation_idx6,0.2888
original_firstorder_RobustMeanAbsoluteDeviation_idx7,0.2028
original_firstorder_RobustMeanAbsoluteDeviation_idx8,0.5296
original_firstorder_RobustMeanAbsoluteDeviation_idx9,0.4597
original_firstorder_RobustMeanAbsoluteDeviation_idx10,0.5478
original_firstorder_RobustMeanAbsoluteDeviation_idx11,0.5587
original_firstorder_RobustMeanAbsoluteDeviation_idx12,0.6171
original_firstorder_RobustMeanAbsoluteDeviation_idx13,0.6408
original_firstorder_RobustMeanAbsoluteDeviation_idx14,0.649
original_firstorder_RobustMeanAbsoluteDeviation_idx15,0.5573
original_firstorder_RobustMeanAbsoluteDeviation_idx16,0.8846
original_firstorder_RobustMeanAbsoluteDeviation_idx17,0.7819
original_firstorder_RobustMeanAbsoluteDeviation_idx18,0.7385
original_firstorder_RobustMeanAbsoluteDeviation_idx19,0.8097
original_firstorder_RobustMeanAbsoluteDeviation_idx20,0.8894
original_firstorder_RobustMeanAbsoluteDeviation_idx21,0.9258
original_firstorder_RobustMeanAbsoluteDeviation_idx22,0.9142
original_firstorder_RobustMeanAbsoluteDeviation_idx23,0.8895
original_firstorder_RootMeanSquared_idx0,0.1283
original_firstorder_RootMeanSquared_idx1,0.3268
original_firstorder_RootMeanSquared_idx2,0.3862
original_firstorder_RootMeanSquared_idx3,0.3131
original_firstorder_RootMeanSquared_idx4,0.2944
original_firstorder_RootMeanSquared_idx5,0.3011
original_firstorder_RootMeanSquared_idx6,0.2563
original_firstorder_RootMeanSquared_idx7,0.1616
original_firstorder_RootMeanSquared_idx8,0.3979
original_firstorder_RootMeanSquared_idx9,0.626
original_firstorder_RootMeanSquared_idx10,0.692
original_firstorder_RootMeanSquared_idx11,0.6372
original_firstorder_RootMeanSquared_idx12,0.608
original_firstorder_RootMeanSquared_idx13,0.5648
original_firstorder_RootMeanSquared_idx14,0.4841
original_firstorder_RootMeanSquared_idx15,0.4234
original_firstorder_RootMeanSquared_idx16,0.8212
original_firstorder_RootMeanSquared_idx17,0.8658
original_firstorder_RootMeanSquared_idx18,0.883
original_firstorder_RootMeanSquared_idx19,0.8734
original_firstorder_RootMeanSquared_idx20,0.8584
original_firstorder_RootMeanSquared_idx21,0.8317
original_firstorder_RootMeanSquared_idx22,0.8026
original_firstorder_RootMeanSquared_idx23,0.8051
original_firstorder_Skewness_idx0,0.9246
original_firstorder_Skewness_idx1,0.9572
original_firstorder_Skewness_idx2,0.9358
original_firstorder_Skewness_idx3,0.8894
original_firstorder_Skewness_idx4,0.9047
original_firstorder_Skewness_idx5,0.9288
original_firstorder_Skewness_idx6,0.9295
original_firstorder_Skewness_idx7,0.9167
original_firstorder_Skewness_idx8,0.9163
original_firstorder_Skewness_idx9,0.9855
original_firstorder_Skewness_idx10,0.9597
original_firstorder_Skewness_idx11,0.9571
original_firstorder_Skewness_idx12,0.9519
original_firstorder_Skewness_idx13,0.9347
original_firstorder_Skewness_idx14,0.8604
original_firstorder_Skewness_idx15,0.8545
original_firstorder_Skewness_idx16,0.9485
original_firstorder_Skewness_idx17,0.9596
original_firstorder_Skewness_idx18,0.9563
original_firstorder_Skewness_idx19,0.9306
original_firstorder_Skewness_idx20,0.9695
original_firstorder_Skewness_idx21,0.9705
original_firstorder_Skewness_idx22,0.7737
original_firstorder_Skewness_idx23,0.8026
original_firstorder_Uniformity_idx0,0.1798
original_firstorder_Uniformity_idx1,0.2984
original_firstorder_Uniformity_idx2,0.3824
original_firstorder_Uniformity_idx3,0.349
original_firstorder_Uniformity_idx4,0.288
original_firstorder_Uniformity_idx5,0.26
original_firstorder_Uniformity_idx6,0.2088
original_firstorder_Uniformity_idx7,0.1488
original_firstorder_Uniformity_idx8,0.4723
original_firstorder_Uniformity_idx9,0.5179
original_firstorder_Uniformity_idx10,0.5922
original_firstorder_Uniformity_idx11,0.5614
original_firstorder_Uniformity_idx12,0.5262
original_firstorder_Uniformity_idx13,0.5126
original_firstorder_Uniformity_idx14,0.4458
original_firstorder_Uniformity_idx15,0.3968
original_firstorder_Uniformity_idx16,0.7702
original_firstorder_Uniformity_idx17,0.5943
original_firstorder_Uniformity_idx18,0.5863
original_firstorder_Uniformity_idx19,0.6571
original_firstorder_Uniformity_idx20,0.7136
original_firstorder_Uniformity_idx21,0.7831
original_firstorder_Uniformity_idx22,0.7417
original_firstorder_Uniformity_idx23,0.7126
original_firstorder_Variance_idx0,0.2806
original_firstorder_Variance_idx1,0.25
original_firstorder_Variance_idx2,0.3523
original_firstorder_Variance_idx3,0.3727
original_firstorder_Variance_idx4,0.3586
original_firstorder_Variance_idx5,0.3656
original_firstorder_Variance_idx6,0.3855
original_firstorder_Variance_idx7,0.3433
original_firstorder_Variance_idx8,0.6921
original_firstorder_Variance_idx9,0.4826
original_firstorder_Variance_idx10,0.5162
original_firstorder_Variance_idx11,0.577
original_firstorder_Variance_idx12,0.6831
original_firstorder_Variance_idx13,0.7434
original_firstorder_Variance_idx14,0.7842
original_firstorder_Variance_idx15,0.7888
original_firstorder_Variance_idx16,0.9289
original_firstorder_Variance_idx17,0.8685
original_firstorder_Variance_idx18,0.8316
original_firstorder_Variance_idx19,0.8875
original_firstorder_Variance_idx20,0.9439
original_firstorder_Variance_idx21,0.9627
original_firstorder_Variance_idx22,0.9634
original_firstorder_Variance_idx23,0.956
